row,col,SegNum,ReachNum,BC,width,cond,cond_total
37,121,38,2,STR,10,0.028538,0.028538
38,121,38,3,STR,10,0.60752,0.60752
39,121,38,4,STR,10,0.20185,0.20185
39,122,38,5,STR,10,0.4701,0.4701
40,122,38,6,STR,10,0.38166,0.38166
40,123,38,7,STR,10,0.37447,0.37447
41,123,38,8,STR,10,0.32597,0.32597
41,124,38,9,STR,10,0.3727,0.3727
42,124,38,10,STR,10,0.41624,0.41624
42,125,38,11,STR,10,0.55735,0.55735
42,126,38,12,STR,10,0.37097,0.37097
43,126,38,13,STR,10,0.52627,0.52627
43,127,38,14,STR,10,0.19544,0.19544
44,127,38,15,STR,10,0.47657,0.47657
44,128,38,16,STR,10,0.56921,0.56921
44,129,38,17,STR,10,0.60926,0.60926
44,130,38,18,STR,10,0.11213,0.16293
45,130,38,19,STR,10,0.074746,0.573956
44,130,38,20,STR,10,0.0508,0.16293
45,130,38,21,STR,10,0.49921,0.573956
45,131,38,22,STR,10,0.7043,0.7043
45,132,38,23,STR,10,0.61981,0.61981
45,133,38,24,STR,10,0.53555,0.53555
45,134,38,25,STR,10,0.1577,0.1577
46,134,38,26,STR,10,0.41246,0.41246
46,135,38,27,STR,10,0.64684,0.64684
46,136,38,28,STR,10,0.092772,0.092772
47,136,38,29,STR,10,0.46421,0.46421
47,137,38,30,STR,10,0.50238,2.13942
77,315,39,1,STR,2,0.0033327,0.0033327
78,315,39,2,STR,2,1.917e-4,1.917e-4
78,316,39,3,STR,2,0.006006,0.006006
79,316,39,4,STR,2,0.0064815,0.0064815
80,316,39,5,STR,2,0.0065456,0.0065456
81,316,39,6,STR,2,0.0020709,0.0020709
81,315,39,7,STR,2,0.0059155,0.0113928
73,290,40,1,STR,15,0.16765,0.16765
74,290,40,2,STR,15,0.53287,0.53287
75,290,40,3,STR,15,0.52733,0.52733
76,290,40,4,STR,15,0.49978,0.49978
77,290,40,5,STR,15,0.065875,0.065875
77,291,40,6,STR,15,0.38103,0.50766
73,282,41,1,STR,2,0.0032466,0.0048927
74,282,41,2,STR,2,7.528e-4,0.0031714998
73,282,41,3,STR,2,0.0016461,0.0048927
74,282,41,4,STR,2,0.0024187,0.0031714998
74,283,41,5,STR,2,0.0010757,0.0188537
73,283,41,6,STR,2,0.002614,0.002614
74,283,41,7,STR,2,0.017778,0.0188537
75,283,41,8,STR,2,0.011061,0.011061
75,284,41,9,STR,2,0.0041937,0.023033101
75,284,42,1,STR,2,0.0074854,0.023033101
76,284,42,2,STR,2,0.018544,0.018544
77,284,42,3,STR,2,0.016225,0.016225
78,284,42,4,STR,2,6.943e-4,0.552335
78,283,42,5,STR,2,0.0079774,2.0781958
78,284,42,6,STR,2,0.0050107,0.552335
78,283,42,7,STR,2,0.0046186,2.0781958
79,283,42,8,STR,2,0.001564,5.135264
79,284,42,9,STR,2,0.014376,4.254776
73,277,43,1,STR,2,0.013303,0.027404
74,277,43,2,STR,2,0.0018982,0.02587
74,277,44,1,STR,2,0.019186,0.02587
75,277,44,2,STR,2,0.017215,0.017215
76,277,44,3,STR,2,0.018155,0.018155
77,277,44,4,STR,2,6.818e-4,0.019145802
77,276,44,5,STR,2,0.0034046,0.0034046
77,277,44,6,STR,2,0.018464,0.019145802
78,277,44,7,STR,2,0.0055322,3.9056323
72,270,45,1,STR,2,0.18897,0.18897
72,271,45,2,STR,2,0.052367,0.304437
71,271,45,3,STR,2,0.3661,0.41988602
72,271,45,4,STR,2,0.02641,0.304437
71,271,45,5,STR,2,0.053786,0.41988602
72,271,45,6,STR,2,0.22566,0.304437
72,272,45,7,STR,2,0.51464,0.92241967
74,267,46,1,STR,2,0.0041139,0.0041139
75,267,46,2,STR,2,0.016212,0.016212
76,267,46,3,STR,2,0.0082937,0.0082937
76,268,46,4,STR,2,0.0076523,0.0076523
77,268,46,5,STR,2,0.014582,1.5943921
77,270,47,1,STR,2,0.0012619,1.0365319
77,250,48,1,STR,2,9.699e-4,9.699e-4
77,251,48,2,STR,2,9.268e-4,9.268e-4
78,251,48,3,STR,2,0.0063827,2.2459626
73,239,49,1,STR,2,0.0020647,0.0020647
74,239,49,2,STR,2,0.0082179,0.0082179
75,239,49,3,STR,2,0.0068717,0.0068717
76,239,49,4,STR,2,0.0044984,3.3563986
71,238,50,1,STR,2,0.0011532,0.0011532
71,237,50,2,STR,2,0.0049873,0.0049873
72,237,50,3,STR,2,0.0016546,0.0139975995
72,238,50,4,STR,2,0.0027781,0.0027781
72,237,50,5,STR,2,0.012343,0.0139975995
73,237,50,6,STR,2,0.021725,0.021725
74,237,50,7,STR,2,0.0043334,0.0090298
74,236,50,8,STR,2,0.0098848,0.0098848
74,237,50,9,STR,2,0.0046964,0.0090298
75,237,50,10,STR,2,0.02623,0.02623
76,237,50,11,STR,2,0.0038033,2.4045575
76,238,50,12,STR,2,0.0034613,2.4837613
76,237,50,13,STR,2,0.011444,2.4045575
116,155,51,1,STR,10,0.024398,0.024398
116,156,51,2,STR,10,0.035384,0.035384
115,156,51,3,STR,10,0.022432,0.022432
115,157,51,4,STR,10,0.066619,0.066619
115,158,51,5,STR,10,0.048437,0.048437
114,158,51,6,STR,10,0.042689,0.042689
114,159,51,7,STR,10,0.032177,0.032177
113,159,51,8,STR,10,0.010969,0.010969
113,160,51,9,STR,10,0.046508,0.046508
112,160,51,10,STR,10,0.019416,0.019416
112,161,51,11,STR,10,0.040618,0.040618
111,161,51,12,STR,10,0.024067,0.024067
111,162,51,13,STR,10,0.049933,0.049933
110,162,51,14,STR,10,0.026441,0.026441
110,163,51,15,STR,10,0.0018592,0.0617342
111,163,51,16,STR,10,0.0048723,0.0048723
110,163,51,17,STR,10,0.059875,0.0617342
110,164,51,18,STR,10,0.012316,0.012316
109,164,51,19,STR,10,0.032679,0.032679
109,165,51,20,STR,10,0.019081,0.0217514
108,165,51,21,STR,10,0.0054893,0.0245843
109,165,51,22,STR,10,0.0026704,0.0217514
108,165,51,23,STR,10,0.019095,0.0245843
108,166,51,24,STR,10,0.057186,0.057186
107,166,51,25,STR,10,0.0026548,0.0026548
107,167,51,26,STR,10,0.047854,0.047854
106,167,51,27,STR,10,0.020582,0.020582
106,168,51,28,STR,10,0.037838,0.037838
105,168,51,29,STR,10,0.026701,0.026701
105,169,51,30,STR,10,0.02577,0.039479
127,187,52,1,STR,2,0.0042824,0.0042824
127,188,52,2,STR,2,0.0060152,0.0060152
128,188,52,3,STR,2,5.957e-4,5.957e-4
128,189,52,4,STR,2,0.010085,0.010085
128,190,52,5,STR,2,0.0057932,0.6927732
47,137,53,1,STR,20,1.3929,2.13942
47,138,53,2,STR,20,1.3047,1.3047
48,138,53,3,STR,20,2.6029,2.6029
48,139,53,4,STR,20,1.9825,1.9825
49,139,53,5,STR,20,1.5064,1.5064
49,140,53,6,STR,20,2.5594,2.5594
50,140,53,7,STR,20,1.6308,1.6308
50,141,53,8,STR,20,2.5189,2.5189
51,141,53,9,STR,20,1.3094,1.3094
51,142,53,10,STR,20,2.9506,2.9506
52,142,53,11,STR,20,0.42263,0.42263
52,143,53,12,STR,20,3.0634,3.0634
52,144,53,13,STR,20,1.8474,1.8474
53,144,53,14,STR,20,1.5498,1.5498
53,145,53,15,STR,20,2.8429,2.8429
54,145,53,16,STR,20,1.2417,1.2417
54,146,53,17,STR,20,3.0655,3.17294
55,146,53,18,STR,20,0.83565,1.33145
54,146,53,19,STR,20,0.10744,3.17294
55,146,53,20,STR,20,0.4958,1.33145
55,147,53,21,STR,20,3.689,3.689
55,148,53,22,STR,20,1.6802,1.6802
56,148,53,23,STR,20,1.9739,2.1673899
56,149,53,24,STR,20,0.5027,2.7395
56,148,53,25,STR,20,0.19349,2.1673899
56,149,53,26,STR,20,2.2368,2.7395
57,149,53,27,STR,20,0.14263,2.8856158
115,216,54,1,STR,20,0.191,0.191
115,217,54,2,STR,20,0.47218,0.47218
114,217,54,3,STR,20,0.52437,0.52437
114,218,54,4,STR,20,0.65802,1.1413801
113,218,54,5,STR,20,0.087096,0.087096
114,218,54,6,STR,20,0.48336,1.1413801
114,219,54,7,STR,20,0.83008,0.83008
114,220,54,8,STR,20,0.92307,0.92307
114,221,54,9,STR,20,0.80981,0.8188016
114,222,54,10,STR,20,0.29413,1.35443
114,221,54,11,STR,20,0.0089916,0.8188016
114,222,54,12,STR,20,1.0603,1.35443
114,223,54,13,STR,20,0.68809,0.68809
115,223,54,14,STR,20,0.15719,0.15719
115,224,54,15,STR,20,0.52575,0.52575
114,224,54,16,STR,20,0.13159,0.13159
114,225,54,17,STR,20,0.32231,0.54140997
115,225,54,18,STR,20,0.13494,0.26703
114,225,54,19,STR,20,0.2191,0.54140997
115,225,54,20,STR,20,0.13209,0.26703
115,226,54,21,STR,20,0.16834,0.16834
114,226,54,22,STR,20,1.032,1.032
114,227,54,23,STR,20,0.86325,0.86325
114,228,54,24,STR,20,0.89188,0.89188
114,229,54,25,STR,20,0.70396,0.70396
64,164,55,1,STR,10,0.038161,0.038161
65,164,55,2,STR,10,0.0081006,0.0081006
65,165,55,3,STR,10,0.0095527,0.0525747
64,165,55,4,STR,10,0.017871,0.017871
65,165,55,5,STR,10,0.043022,0.0525747
66,165,55,6,STR,10,0.029577,0.047029
76,166,56,1,STR,10,0.044596,0.044596
75,166,56,2,STR,10,0.0058527,0.0058527
75,167,56,3,STR,10,0.0017895,0.0570485
76,167,56,4,STR,10,0.0023671,0.0023671
75,167,56,5,STR,10,0.055259,0.0570485
75,168,56,6,STR,10,0.0064509,0.0126244
74,168,56,7,STR,10,0.0046171,0.0430891
75,168,56,8,STR,10,0.0061735,0.0126244
74,168,56,9,STR,10,0.038472,0.0430891
74,169,56,10,STR,10,0.021747,0.021747
73,169,56,11,STR,10,0.025523,0.025523
73,170,56,12,STR,10,0.056908,0.056908
73,171,56,13,STR,10,0.041605,0.041605
73,172,56,14,STR,10,0.038046,0.0418791
117,182,57,1,STR,40,1.0261,1.0261
117,183,57,2,STR,40,1.7457,1.845171
117,184,57,3,STR,40,0.61161,2.41771
117,183,57,4,STR,40,0.099471,1.845171
117,184,57,5,STR,40,1.8061,2.41771
117,185,57,6,STR,40,1.3401,1.3401
117,186,57,7,STR,40,1.4335,1.4335
116,186,57,8,STR,40,0.33817,0.33817
116,187,57,9,STR,40,1.9227,1.9227
116,188,57,10,STR,40,2.3074,2.3074
115,188,57,11,STR,40,0.7837,0.7837
115,189,57,12,STR,40,0.97761,0.97761
114,189,57,13,STR,40,2.2691,2.2691
114,190,57,14,STR,40,1.1805,1.1805
113,190,57,15,STR,40,0.80093,0.80093
113,191,57,16,STR,40,1.4844,1.4844
113,192,57,17,STR,40,1.4889,1.4889
113,193,57,18,STR,40,1.7039,1.7039
113,194,57,19,STR,40,0.16222,1.51032
112,194,57,20,STR,40,0.56045,0.56045
113,194,57,21,STR,40,1.3481,1.51032
113,195,57,22,STR,40,1.3408,1.3408
113,196,57,23,STR,40,1.0038,1.0038
112,196,57,24,STR,40,1.0259,1.0259
112,197,57,25,STR,40,2.3859,2.3859
112,198,57,26,STR,40,1.772,1.772
112,199,57,27,STR,40,1.1915,1.206044
111,199,57,28,STR,40,0.17307,0.17307
112,199,57,29,STR,40,0.014544,1.206044
112,200,57,30,STR,40,0.55736,0.55736
111,200,57,31,STR,40,0.88241,0.88241
111,201,57,32,STR,40,0.4662,1.78689
112,201,57,33,STR,40,0.48841,0.78492
111,201,57,34,STR,40,0.37411,1.78689
112,201,57,35,STR,40,0.29651,0.78492
111,201,57,36,STR,40,0.94658,1.78689
111,202,57,37,STR,40,1.5376,1.5376
111,203,57,38,STR,40,2.1535,2.1535
110,203,57,39,STR,40,0.65341,0.65341
110,204,57,40,STR,40,0.029326,0.029326
111,204,57,41,STR,40,1.595,3.0802999
112,204,57,42,STR,40,0.021191,0.021191
111,204,57,43,STR,40,1.4853,3.0802999
111,205,57,44,STR,40,0.36124,0.36124
110,205,57,45,STR,40,0.25854,0.25854
80,78,58,1,STR,25,0.14718,0.14718
80,79,58,2,STR,25,3.0883,3.0883
80,80,58,3,STR,25,3.575,3.575
80,81,58,4,STR,25,2.3486,2.3486
79,81,58,5,STR,25,1.1441,1.1441
79,82,58,6,STR,25,3.848,3.848
79,83,58,7,STR,25,1.9419,1.9419
78,83,58,8,STR,25,3.1969,3.1969
78,84,58,9,STR,25,1.6075,1.6075
77,84,58,10,STR,25,4.4083,4.4083
76,84,58,11,STR,25,3.2957,3.2957
76,85,58,12,STR,25,3.4845,3.4845
76,86,58,13,STR,25,1.2245,1.2245
75,86,58,14,STR,25,2.3912,2.3912
75,87,58,15,STR,25,1.193,4.3603
70,113,59,1,STR,10,0.028084,0.028084
71,113,59,2,STR,10,0.19244,0.19244
72,113,59,3,STR,10,0.17202,0.17202
73,113,59,4,STR,10,0.055989,0.055989
73,114,59,5,STR,10,0.10917,0.10917
74,114,59,6,STR,10,0.2197,0.2197
75,114,59,7,STR,10,0.018064,0.0237613
75,115,59,8,STR,10,0.093813,0.13681701
75,114,59,9,STR,10,0.0056973,0.0237613
75,115,59,10,STR,10,0.043004,0.13681701
76,115,59,11,STR,10,0.16485,0.16485
77,115,59,12,STR,10,0.16811,0.16811
78,115,59,13,STR,10,0.1155,0.1155
78,116,59,14,STR,10,0.11906,0.17698601
26,150,60,1,STR,15,0.58192,0.58192
26,151,60,2,STR,15,0.28563,0.28563
27,151,60,3,STR,15,0.91874,0.91874
28,151,60,4,STR,15,0.89277,0.89277
28,152,60,5,STR,15,0.17417,0.17417
29,152,60,6,STR,15,1.0409,1.0409
29,153,60,7,STR,15,0.30317,0.30317
30,153,60,8,STR,15,0.94549,0.94549
31,153,60,9,STR,15,0.52313,0.52313
31,154,60,10,STR,15,0.54398,0.54398
32,154,60,11,STR,15,0.97659,0.97659
33,154,60,12,STR,15,0.013675,0.013675
33,155,60,13,STR,15,0.13287,1.17487
32,155,60,14,STR,15,0.013701,0.013701
33,155,60,15,STR,15,1.042,1.17487
34,155,60,16,STR,15,0.30158,0.30158
34,156,60,17,STR,15,0.90835,0.90835
35,156,60,18,STR,15,0.87937,0.87937
36,156,60,19,STR,15,0.15317,0.15317
36,157,60,20,STR,15,1.0846,1.0846
37,157,60,21,STR,15,0.92264,0.92264
37,158,60,22,STR,15,0.13105,0.13105
38,158,60,23,STR,15,0.9386,0.9386
38,159,60,24,STR,15,0.42731,0.42731
39,159,60,25,STR,15,0.94469,0.94469
40,159,60,26,STR,15,1.0138,1.0138
41,159,60,27,STR,15,0.84254,0.84254
42,159,60,28,STR,15,0.50005,0.50005
42,160,60,29,STR,15,0.38408,0.38408
43,160,60,30,STR,15,0.96638,0.96638
44,160,60,31,STR,15,0.25784,0.25784
44,161,60,32,STR,15,0.77816,0.77816
45,161,60,33,STR,15,0.6776,0.6776
45,162,60,34,STR,15,0.46231,0.46231
46,162,60,35,STR,15,0.93228,0.93228
47,162,60,36,STR,15,0.21911,0.21911
47,163,60,37,STR,15,0.9615,0.9615
48,163,60,38,STR,15,0.19724,0.19724
48,164,60,39,STR,15,0.82488,0.82488
49,164,60,40,STR,15,0.75232,0.75232
49,165,60,41,STR,15,0.097801,0.097801
50,165,60,42,STR,15,1.0843,1.0843
51,165,60,43,STR,15,1.3979,1.3979
52,165,60,44,STR,15,1.283,1.283
52,166,60,45,STR,15,0.16222,0.16222
53,166,60,46,STR,15,0.54479,0.82265
53,165,60,47,STR,15,0.12354,0.12354
53,166,60,48,STR,15,0.27786,0.82265
54,166,60,49,STR,15,0.75355,0.75355
54,167,60,50,STR,15,0.33157,0.33157
55,167,60,51,STR,15,0.76233,1.22574
66,165,61,1,STR,10,0.017452,0.047029
66,166,61,2,STR,10,0.005357,0.005357
67,166,61,3,STR,10,0.011705,3.469605
67,165,61,4,STR,10,0.0090762,3.171466
70,249,62,1,STR,15,0.025585,0.025585
71,249,62,2,STR,15,0.35958,0.35958
71,250,62,3,STR,15,0.51375,0.51375
72,250,62,4,STR,15,0.52551,0.52551
72,251,62,5,STR,15,0.039558,0.039558
73,251,62,6,STR,15,0.90254,0.90254
74,251,62,7,STR,15,0.13961,0.13961
74,252,62,8,STR,15,0.57179,0.57179
75,252,62,9,STR,15,0.3034,0.3034
75,253,62,10,STR,15,0.41674,0.41674
76,253,62,11,STR,15,0.51292,0.51292
77,253,62,12,STR,15,0.36781,0.36781
77,254,62,13,STR,15,0.17427,0.17427
78,254,62,14,STR,15,0.31575,0.35626101
74,257,63,1,STR,2,0.10742,0.10742
75,257,63,2,STR,2,0.59873,0.59873
